#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,CBSSportsName,CBSSportsID,YahooID,YahooName
90,Cam Booser,592155,592155,16061,12080,*03mjl*,TB,RP,RP,Booser,Cam,Booser,Cam,Cam Booser P | TB,28850997,61577,Cam Booser
91,Kris Bryant,592178,15429,15429,8644,*01ubo*,COL,DH,DH,Bryant,Kris,Bryant,Kris,Kris Bryant DH | COL,2071263,9558,Kris Bryant
92,Mark Canha,592192,11445,11445,8977,*025eo*,FA,OF,OF,Canha,Mark,,,Mark Canha OF | FA,1960772,9898,
93,Dylan Covey,592229,592229,14825,9590,*01uci*,ATL,RP,RP,Covey,Dylan,Covey,Dylan,Dylan Covey P | ATL,2118135,10662,Dylan Covey
94,Brandon Drury,592273,11615,11615,8931,*02hlw*,KC,2B,2B,Drury,Brandon,Drury,Brandon,Brandon Drury 2B | KC,1957192,9853,Brandon Drury
95,Ben Gamel,592325,12160,12160,9197,*02hka*,ATL,OF,OF,Gamel,Ben,Gamel,Ben,Ben Gamel OF | ATL,1961737,10283,Ben Gamel
96,Kevin Gausman,592332,14107,14107,8427,*02hi7*,TOR,SP,SP,Gausman,Kevin,Gausman,Kevin,Kevin Gausman P | TOR,2000033,9334,Kevin Gausman
97,Aaron Judge,592450,15640,15640,8956,*02z0s*,NYY,OF,OF,Judge,Aaron,Judge,Aaron,Aaron Judge OF | NYY,2071264,9877,Aaron Judge
98,Tommy Kahnle,592454,11384,11384,8736,*02ccf*,BOS,RP,RP,Kahnle,Tommy,Kahnle,Tommy,Tommy Kahnle P | BOS,2040766,9653,Tommy Kahnle
99,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny,Manny Machado 3B | SD,1765812,9111,Manny Machado
100,Joc Pederson,592626,11899,11899,8688,*026qc*,TEX,DH,DH,Pederson,Joc,Pederson,Joc,Joc Pederson DH | TEX,1811026,9414,Joc Pederson
